"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_census_tract","dropoff_census_tract","pickup_community_area","dropoff_community_area","fare","tip","additional_charges","trip_total","shared_trip_authorized","trips_pooled","pickup_centroid_latitude","pickup_centroid_longitude","dropoff_centroid_latitude","dropoff_centroid_longitude"
"0023918a32baa84c59a60ec6acd38ef8d8876a55","2022-01-01T00:00:00.000","2022-01-01T00:45:00.000","2123","27.8011",,,"8",,"37.5","0","7.91","45.41","false","1","41.899602111","-87.6333080367",,
"0031f13d0144700e8132ec4ced74bf91b604bafd","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","308","1.3617","17031071400","17031080400","7","8","5","0","3.75","8.75","false","1","41.922082541","-87.6341560931","41.9074128162","-87.6409015248"
"003b7701b5658afe3415169d091130f15c2d8434","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","830","3.59","17031080300","17031221400","8","22","10","0","1.02","11.02","false","1","41.9074919303","-87.6357600901","41.9208017043","-87.6945323419"
"003c710f7464bf348349ec4436fea275b97300bd","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","862","4.7492","17031222200","17031081800","22","8","10","0","3.74","13.74","false","1","41.9159097884","-87.6838259399","41.8932163595","-87.6378442095"
"0066f1154bb7dc467b2d8ce59e8def475a428557","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","471","0.7196","17031081600","17031081800","8","8","2.5","0","2.36","4.859999999999999","false","1","41.8920726347","-87.6288741572","41.8932163595","-87.6378442095"
"00ac5c7ec5b5540a83e5f60cd19f721ec46256f2","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","1057","1.0492","17031320100","17031839100","32","32","10","0","2.87","12.870000000000001","false","1","41.8849871918","-87.6209929134","41.8809944707","-87.6327464887"
"00b6c6407848e8f78a989a1b210309450c65fe8f","2022-01-01T00:00:00.000","2022-01-01T00:30:00.000","1332","6.69","17031830900","17031010201","22","1","15","0","3.34","18.34","false","1","41.9286190509","-87.685362024","42.0160105638","-87.680162272"
"01257dfa064e41843dd90d93c437d9fea037ef40","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","212","0.7139","17031833000","17031833000","28","28","5","0","3.22","8.22","false","1","41.8852813201","-87.6572331997","41.8852813201","-87.6572331997"
"01345804c5bd6c0101bcb26a14d776d569edf97d","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","962","5.2",,,"23","18","12.5","0","1.02","13.52","false","1","41.9000696026","-87.7209182385","41.9292973683","-87.7980321814"
"01683d623032683e9fcca03967dd2faeaf1141a7","2022-01-01T00:00:00.000","2022-01-01T00:30:00.000","1667","22.34",,,"8",,"32.5","0","1.02","33.52","false","1","41.899602111","-87.6333080367",,
"019e6ffd2756162afe4a35da65b3a90e6a955e23","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","472","2.3956",,,"25","25","5","0","2.44","7.4399999999999995","false","1","41.8906088526","-87.7560467111","41.8906088526","-87.7560467111"
"01b6b82321b09e07bfa3bcc72aaed2a7e5c96602","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","337","1.2816","17031071200","17031080300","7","8","5","0","2.36","7.359999999999999","false","1","41.9218549112","-87.6462109769","41.9074919303","-87.6357600901"
"01e46a6327c61dc09f8ca42369a74802a69551bf","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","215","1.21",,,"22","24","7.5","0","1.02","8.52","false","1","41.9227606205","-87.6991553432","41.9012069941","-87.6763559892"
"02051e517e227650e268bdd0ffe009def9a2ab75","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","724","9.2394","17031320400","17031691200","32","69","15","0","3.94","18.94","false","1","41.8774061234","-87.6219716519","41.7544341714","-87.632184554"
"0207218776f774621f3dc27af8263d0ad0b539af","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","889","4.3295",,,"6","28","12.5","0","3.09","15.59","false","1","41.9442266014","-87.6559981815","41.874005383","-87.6635175498"
"02a1d4ebe0c3a506e122af2691563fd9b0b1f442","2022-01-01T00:00:00.000","2022-01-01T00:30:00.000","1099","3.21","17031839100","17031081500","32","8","15","0","0","15","false","1","41.8809944707","-87.6327464887","41.8925077809","-87.6262149064"
"02a26645383576883f66a648e41d1d71ab71aee0","2022-01-01T00:00:00.000","2022-01-01T00:30:00.000","1302","11.112","17031081100","17031400400","8","40","20","0","4.27","24.27","false","1","41.9002212967","-87.6291051864","41.7911260852","-87.6183216222"
"02a6b5fd3b3d6e2e4627f77379e5d39a560cde33","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","568","2.29","17031330100","17031839000","33","32","15","0","1.02","16.02","false","1","41.859349715","-87.6173580061","41.8710158803","-87.6314065252"
"02bb1e2db87fd98e74b74d311941f47d9e41c1e7","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","562","2.1751","17031080300","17031280100","8","28","7.5","0","2.86","10.36","false","1","41.9074919303","-87.6357600901","41.8853000224","-87.6428084655"
"02d90f5c5293cb20e3ff31f1329408c924c73539","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","935","7.4735","17031320400","17031210100","32","21","12.5","0","3.51","16.009999999999998","false","1","41.8774061234","-87.6219716519","41.9428725376","-87.701330291"
"0306ba0a647a46599b611ff3e027e74d8bedeaa9","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","171","0.7206",,,"19","19","5","0","2.99","7.99","false","1","41.9272609555","-87.7655016086","41.9272609555","-87.7655016086"
"03180e7b1ebad2b2dfaeb38e5c295ea087174770","2022-01-01T00:00:00.000","2022-01-01T00:45:00.000","2619","12.44","17031081401","17031431400","8","43","22.5","0","1.02","23.52","false","1","41.8950334495","-87.6197106717","41.7559614313","-87.551994147"
"032939259b1bb2b8e2e6fc78a858b0ea1ca5efcb","2022-01-01T00:00:00.000","2022-01-01T00:15:00.000","661","1.1051",,,"28","32","5","0","2.36","7.359999999999999","false","1","41.874005383","-87.6635175498","41.8788655841","-87.6251921424"
"03382956e81eba1ab701b2522f9f8b403fa286ca","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","796","3.0386","17031831900","17031040201","6","4","7.5","0","2.58","10.08","false","1","41.9451704528","-87.6687944391","41.9725808001","-87.6940010612"
